Title,Organisations,Link,Uploaded On,Opportunity Type,Status,Applied,Application Deadline,Impressions,Eligibility,Category,Region
Master you DSA Challenge S1-(Subsequence DP + Stacks & Queues),Algo University,https://unstop.com/hackathons/master-you-dsa-challenge-s1-subsequence-dp-algo-university-1500509,2025-06-10T00:00:00+05:30,hackathons,open,70,4,5315,"Coding Challenge, Engineering Students, MBA Students, Postgraduate, Undergraduate, Fresher","Coding Challenge, Engineering Students, MBA Students, Postgraduate, Undergraduate, Fresher",online
Frontend Battle (Vibe Coding Competition),Indian Institute of Technology Bhubaneswar,https://unstop.com/hackathons/frontend-battle-vibe-coding-competition-indian-institute-of-technology-bhubaneswar-1500317,2025-06-10T00:00:00+05:30,hackathons,open,997,7,21665,"All, Coding Challenge","All, Coding Challenge",online
Buildathon,Tutedude,https://unstop.com/hackathons/buildathon-tutedude-1499334,2025-06-07T00:00:00+05:30,hackathons,open,454,N/A,20167,"All, Hackathon, Entrepreneurship, Presentation, Coding Challenge","All, Hackathon, Entrepreneurship, Presentation, Coding Challenge",online
Prompt Builder With Gen AI,CertifyO,https://unstop.com/hackathons/prompt-builder-with-gen-ai-certifyo-1500197,2025-06-10T00:00:00+05:30,hackathons,open,57,3,17679,"Hackathon, Coding Challenge, Case Study, Data Science, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Coding Challenge, Case Study, Data Science, Engineering Students, MBA Students, Undergraduate, Postgraduate",online
Adobe India Hackathon,Adobe,https://unstop.com/hackathons/adobe-india-hackathon-adobe-1483364,2025-05-22T00:00:00+05:30,hackathons,open,35112,29,921318,"Engineering Students, Postgraduate, Undergraduate, Coding Challenge, Hackathon, Online Quiz, Case Study","Engineering Students, Postgraduate, Undergraduate, Coding Challenge, Hackathon, Online Quiz, Case Study",online
SuPrathon 2025 – National Level Virtual Hackathon,SuPrazo Technologies,https://unstop.com/hackathons/suprathon-2025-national-level-virtual-hackathon-suprazo-technologies-1499788,2025-06-09T00:00:00+05:30,hackathons,open,61,30,23961,"Hackathon, Coding Challenge, Others, Awards, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Coding Challenge, Others, Awards, Engineering Students, MBA Students, Undergraduate, Postgraduate",online
Ozibook Hackfest June 2025,Ozibook Tech Solutions Private Limited,https://unstop.com/hackathons/ozibook-hackfest-june-2025-ozibook-tech-solutions-private-limited-1499315,2025-06-07T00:00:00+05:30,hackathons,open,85,11,24711,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon","Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon",online
Burnout- MotoGP Datathon,"Manipal University (MU), Jaipur",https://unstop.com/hackathons/burnout-motogp-datathon-manipal-university-mu-jaipur-1499433,2025-06-08T00:00:00+05:30,hackathons,open,618,1,27833,"Engineering Students, MBA Students, Postgraduate, Undergraduate, Coding Challenge, Data Analytics, Data Science, College Festival, Hackathon","Engineering Students, MBA Students, Postgraduate, Undergraduate, Coding Challenge, Data Analytics, Data Science, College Festival, Hackathon",online
CodeClash  – The Battle of Logic & Code,Lets Code Community,https://unstop.com/hackathons/coderush-june-2025-the-battle-of-logic-code-lets-code-community-1499088,2025-06-07T00:00:00+05:30,hackathons,open,2397,16,44677,"Online Quiz, All","Online Quiz, All",online
Code Craft,Galgotias University,https://unstop.com/hackathons/code-craft-galgotias-university-1499079,2025-06-07T00:00:00+05:30,hackathons,open,615,13,37772,"Coding Challenge, Hackathon, All","Coding Challenge, Hackathon, All",online
Software Development Engineer Hiring Challenge,Ozibook Tech Solutions Private Limited,https://unstop.com/p/software-development-engineer-hiring-challenge-ozibook-tech-solutions-private-limited-1498471,2025-06-05T00:00:00+05:30,hackathons,open,250,2,25113,"Coding Challenge, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher, Experienced Professionals","Coding Challenge, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher, Experienced Professionals",online
“Break to Breakthrough: The Semester Gap Reload Pack”,Codein,https://unstop.com/hackathons/break-to-breakthrough-the-semester-gap-reload-pack-codein-1498340,2025-06-05T00:00:00+05:30,hackathons,open,14,4,40140,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge, Data Science, Debates, Hackathon, Online Quiz","Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge, Data Science, Debates, Hackathon, Online Quiz",online
ARVR Hackathon,Proptelligence Technologies,https://unstop.com/hackathons/arvr-hackathon-proptelligence-technologies-1498401,2025-06-05T15:17:06+05:30,hackathons,open,173,4,44553,"Hackathon, All","Hackathon, All",offline
Placement Check Contest,"GL Bajaj Institute Of Technology And Management (GLBITM), Greater Noida",https://unstop.com/hackathons/placement-check-contest-gl-bajaj-institute-of-technology-and-management-glbitm-greater-noida-1496086,2025-06-04T00:00:00+05:30,hackathons,open,27,3,35991,"Hackathon, Coding Challenge, Engineering Students, Undergraduate, Postgraduate","Hackathon, Coding Challenge, Engineering Students, Undergraduate, Postgraduate",online
Navikshaa Dev Battleground 2,Navikshaa,https://unstop.com/hackathons/navikshaa-dev-battleground-2-navikshaa-1496653,2025-06-04T00:00:00+05:30,hackathons,open,331,6,43714,"Coding Challenge, Hackathon, All","Coding Challenge, Hackathon, All",online
Indian Debating League Debate Hackathon'25,"Indian Institute of Technology (IIT), Delhi",https://unstop.com/hackathons/idl-debate-hackathon25-iit-delhi-1493094,2025-06-02T00:00:00+05:30,hackathons,open,509,8,20227,"Engineering Students, MBA Students, Undergraduate, Postgraduate, School Students, Debates, Hackathon, Coding Challenge","Engineering Students, MBA Students, Undergraduate, Postgraduate, School Students, Debates, Hackathon, Coding Challenge",online
Codein Clash-A National level hackathon,Codein,https://unstop.com/hackathons/codein-clash-codein-1494601,2025-06-03T00:00:00+05:30,hackathons,open,114,9,47838,"Coding Challenge, Hackathon, Online Quiz, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, Hackathon, Online Quiz, Engineering Students, MBA Students, Undergraduate, Postgraduate",online
Weekly Coding Arena by Codein,Codein,https://unstop.com/hackathons/weekly-coding-arena-by-codein-codein-1492166,2025-06-01T00:00:00+05:30,hackathons,open,631,4,47032,"Coding Challenge, Awards, Online Quiz, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, Awards, Online Quiz, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate",online
CodeClash 2.0,"Guru Gobind Singh Indraprastha University (GGSIPU), Delhi",https://unstop.com/hackathons/codeclash-20-guru-gobind-singh-indraprastha-university-ggsipu-delhi-1492599,2025-06-01T10:00:20+05:30,hackathons,open,2431,9,63513,"Hackathon, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline
